Date,AAPL,MSFT,GOOG,AMZN,TSLA,NVDA
2023-12-05,66628400,23065000,19235100,46822400,137971100,371718000
2023-12-06,41089700,21182100,16360600,39679000,126436200,380590000
2023-12-07,47477700,23118900,38419400,52352800,107142300,350823000
2023-12-08,53406400,20154400,23016100,41906000,103126800,359224000
2023-12-11,60943700,27708800,24502900,50907300,97913900,509728000
2023-12-12,52696900,24838300,26584000,44944300,95328300,372387000
2023-12-13,70404200,30955500,25414500,52766200,146286300,447792000
2023-12-14,66831600,43277500,29619100,58400800,160829200,391232000
2023-12-15,128538400,78502300,58594000,110089300,135932800,479948000
2023-12-18,55751900,21802900,25699800,62512800,116416500,412587000
2023-12-19,40714100,20603700,20661000,43171300,106737400,464444000
2023-12-20,52242800,26316700,33507300,50322100,125097000,397894000
2023-12-21,46482500,17708000,18101500,36305700,109594200,300425000
2023-12-22,37149600,17107500,18513500,29514100,93370100,252507000
2023-12-26,28919300,12673100,11170100,25067200,86892400,244200000
2023-12-27,48087700,14905400,17288400,31434700,106494400,233648000
2023-12-28,34049900,14327000,12192500,27057000,113619900,246587000
2023-12-29,42672100,18730800,14881000,39823200,100891600,389293000
2024-01-02,82488700,25258600,20071900,47339400,104654200,411254000
2024-01-03,58414500,23083500,18974300,49425500,121082600,320896000
2024-01-04,71983600,20901500,18253300,56039800,102629300,306535000
2024-01-05,62379700,21004600,15439500,45153100,92488900,415039000
2024-01-08,59144500,23134000,17645300,46757100,85166600,642510000
2024-01-09,42841800,20830000,19579700,43812600,96705700,773100000
2024-01-10,46792900,25514200,16641900,44421800,91628500,533796000
2024-01-11,49128400,27850800,17471100,49072700,105873600,596759000
2024-01-12,40477800,21661200,13998700,40484200,123043800,352994000
2024-01-16,65603000,27202300,19198900,41384600,115355000,449580000
2024-01-17,47317400,22234100,17884500,34953400,103164400,474394000
2024-01-18,78005800,23392100,18876800,37850200,108595400,491650000
2024-01-19,68903000,29331100,27181000,51651600,102260300,543501000
2024-01-22,60133900,27016900,21829200,43687500,117952500,452955000
2024-01-23,42355600,20525900,14113600,37986000,106605900,294654000
2024-01-24,53631300,24867000,19245000,48547300,123369900,560271000
2024-01-25,54822100,21021200,21495100,43638600,198076800,482777000
2024-01-26,44594000,17803300,19494500,51047400,107343200,390309000
2024-01-29,47145600,24510200,20909300,45270400,125013100,348733000
